Category;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism;
Accountants’fees;−1.81;2.02;−1.40;−0.68;−0.62;
Advertisingservices;1.98;0.70;2.04;−0.04;0.34;
Airportsandduty-freeshops;−0.50;0.96;0.34;−0.18;−0.02;
Artsandcrafts;2.51;0.20;1.05;1.71;−0.46;
Bakersandconfectioners;1.45;1.59;0.86;1.41;−0.80;
Books;1.71;1.92;−0.82;1.53;−1.39;
CableandsatelliteTV;0.48;0.00;1.29;−0.17;0.14;
Carrentals;−0.53;1.39;−0.06;0.31;−0.96;
Caravansandcamping;1.65;0.60;1.51;1.00;−0.64;
Catalogueandbargainstores;−0.34;−0.27;0.35;0.54;−0.21;
Charities;−0.35;1.65;0.10;2.31;−1.39;
Cinemas;2.30;0.22;1.75;0.71;−0.02;
Clothes;0.83;0.44;0.96;0.89;−0.44;
Coffeeshops;0.89;1.24;0.45;1.79;−1.23;
Computersandtechnology;1.36;2.05;0.28;0.19;−1.00;
Confectionersandtobacconists;0.75;0.21;0.77;0.42;−0.06;
Daysoutandtourism;2.19;0.57;2.25;1.10;−0.28;
Dentalcare;−1.25;1.79;−0.59;0.32;−0.59;
Departmentstores;−0.30;1.28;0.70;0.57;−0.62;
Digital;1.55;1.05;0.77;0.02;−0.45;
Discountstores;−0.17;−0.42;0.32;0.28;0.19;
DIYprojects;2.22;1.37;1.20;0.98;−0.54;
Eatingout:pubs;1.35;−0.41;2.22;0.40;0.48;
Eatingout:restaurants;1.56;0.44;1.74;0.91;−0.39;
Entertainment;2.67;−0.43;2.51;0.31;0.49;
Familyclothes;−0.28;0.43;0.00;1.16;−0.96;
Florists;1.69;1.38;1.13;1.87;−0.98;
Foreigntravel;2.54;0.65;2.15;0.85;−0.11;
Gambling;1.55;−2.08;2.33;−1.81;1.98;
Gardening;0.59;1.75;−0.73;1.94;−1.59;
Giftshops;0.83;0.94;0.55;1.74;−0.94;
Hairandbeauty;1.91;0.31;1.49;0.85;0.22;
Hardware;−0.78;1.73;−0.61;0.04;−1.22;
Healthandfitness;0.32;2.22;1.29;1.00;−0.93;
Healthinsurance;−1.61;1.52;−1.11;−0.16;−0.50;
Homefurnishing;0.63;1.48;0.17;1.38;−1.22;
Homeinsurance;−2.05;2.40;−1.46;0.33;−1.48;
Hotels;−0.16;1.69;0.31;1.55;−1.63;
Informationtechnology;0.93;1.36;0.33;0.15;−0.80;
Jewelry;1.60;0.73;1.43;0.96;−0.61;
Lifeinsurance;−1.30;2.21;−1.02;1.11;−1.25;
Mobiletelephone;1.02;1.33;1.65;0.33;−0.13;
Motorsports;1.34;0.09;2.32;−0.55;0.82;
Music;2.61;0.12;2.33;0.94;0.15;
Newsagents;−0.22;0.76;1.06;−0.29;0.12;
Pets;1.14;0.08;2.04;1.98;0.24;
Photography;2.33;0.69;1.44;1.09;−0.33;
Residentialmortgages;−2.10;1.98;−1.40;−0.48;−0.85;
Shoeshops;0.40;1.19;0.43;0.58;−0.77;
Sports;1.44;1.30;2.24;−0.41;0.77;
Stationery;−0.14;1.98;−0.78;1.51;−1.63;
Subscriptions;−0.43;1.42;−0.26;0.44;−0.86;
Supermarkets;−0.69;1.27;0.51;0.58;−0.73;
Takeoutfood;0.84;−0.07;1.16;0.23;−0.19;
Toysandhobbies;2.19;−0.90;1.94;0.78;−0.06;
Trafficfines;−2.25;0.91;−0.58;−2.33;1.34;
Travel;2.51;0.24;2.37;1.18;−0.20;
TVlicense;−0.17;1.29;0.26;−0.33;−0.39;
Unionsandsubscriptions;−1.04;1.26;0.42;−0.58;0.25;
